candidate_id,candidate_name,candidate_family,is_control,ticker,split,split_start,split_end,split_rows,signal_count,rejected_signal_count,trade_count,average_holding_bars,actual_cumulative_return,mean_simulated_return,median_simulated_return,std_simulated_return,RCSI,RCSI_z,p_value,percentile,classification_raw,classification_raw_label,simulation_count,research_grade,null_model,seed,bh_adjusted_p_value_by_ticker_split,bh_adjusted_p_value_by_split_global,classification_bh_by_ticker_split,classification_bh_by_ticker_split_label,classification_bh_by_split_global,classification_bh_by_split_global_label
cand_trend_pullback_adx,Trend Pullback (ADX Confirmed),pullback,False,SPY,holdout,2019-11-08,2026-04-02,1607,48,0,48,9.708333333333334,0.10283391786469083,0.26927679649930986,0.2682278478154093,0.27923913100968345,-0.16644287863461904,-0.5960585754324208,0.685785536159601,31.67082294264339,negative_skill,Negative Skill,400,False,structure_preserving_random_timing,20326764,0.9413503278839938,0.9594124923910695,negative_skill,Negative Skill,negative_skill,Negative Skill
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),pullback,False,SPY,holdout,2019-11-08,2026-04-02,1607,13,0,13,3.3846153846153846,-0.057345837553866734,0.025680547181998383,0.023373008666086922,0.06343952106124788,-0.08302638473586511,-1.3087486057107371,0.9077306733167082,9.476309226932669,negative_skill,Negative Skill,400,False,structure_preserving_random_timing,20342540,0.9413503278839938,0.9775561097256859,negative_skill,Negative Skill,negative_skill,Negative Skill
cand_cross_asset_monthly_momentum,Cross-Asset Monthly Momentum Rotation,relative_strength_momentum,False,SPY,holdout,2019-11-08,2026-04-02,1607,39,0,39,19.564102564102566,0.3574617028110917,0.40033770708299327,0.36690113062906976,0.4434298259969537,-0.04287600427190158,-0.09669174637836864,0.5187032418952618,48.37905236907731,random_luck,Random / Luck,400,False,structure_preserving_random_timing_shared_calendar,20371743,0.9413503278839938,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
cand_cross_asset_monthly_momentum_63,Cross-Asset Monthly Momentum (63/126),relative_strength_momentum,False,SPY,holdout,2019-11-08,2026-04-02,1607,32,0,32,37.875,1.0371496412504306,0.7554101708516334,0.6955119590271177,0.802663249395066,0.2817394703987972,0.3510058179580697,0.2942643391521197,70.82294264339151,random_luck,Random / Luck,400,False,structure_preserving_random_timing_shared_calendar,20382500,0.9413503278839938,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
cand_cross_asset_monthly_momentum_nostop,Cross-Asset Monthly Momentum (No Trailing Stop),relative_strength_momentum,False,SPY,holdout,2019-11-08,2026-04-02,1607,32,0,32,34.5,0.3909540915959878,0.6223453100270916,0.5326621190252567,0.6302992250565725,-0.23139121843110377,-0.36711328402844734,0.6084788029925187,39.40149625935162,random_luck,Random / Luck,400,False,structure_preserving_random_timing_shared_calendar,20409160,0.9413503278839938,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
cand_tsmom_12m_filter,TSMOM 12M + Trend Filter,time_series_momentum,False,SPY,holdout,2019-11-08,2026-04-02,1607,47,0,47,17.106382978723403,0.691059522853964,0.6261336514103397,0.5949458611537817,0.3525279345575775,0.06492587144362427,0.18417227424858182,0.4014962593516209,60.099750623441395,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20318642,0.9413503278839938,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
cand_dual_horizon_trend,Dual-Horizon Trend Stack,trend_following,False,SPY,holdout,2019-11-08,2026-04-02,1607,55,0,55,15.636363636363637,0.242849557517842,0.478508462163405,0.44090208403504816,0.3221259639212925,-0.23565890464556297,-0.7315737662895851,0.7630922693266833,23.940149625935163,negative_skill,Negative Skill,400,False,structure_preserving_random_timing,20327557,0.9413503278839938,0.9594124923910695,negative_skill,Negative Skill,negative_skill,Negative Skill
cand_faber_10m_timing,Faber 10-Month Timing Rule,trend_following,False,SPY,holdout,2019-11-08,2026-04-02,1607,18,0,18,70.83333333333333,0.8860267511332643,1.475912268733369,1.4109100628541897,0.5117497251393422,-0.5898855176001047,-1.152683604157261,0.8802992518703242,12.219451371571072,negative_skill,Negative Skill,400,False,structure_preserving_random_timing,20318260,0.9413503278839938,0.9628273067331671,negative_skill,Negative Skill,negative_skill,Negative Skill
cand_ma_cross_50_200,50/200 Moving-Average Crossover,trend_following,False,SPY,holdout,2019-11-08,2026-04-02,1607,3,0,3,30.0,0.12482207579934658,0.06490269140491989,0.08467102587616884,0.13927963700133442,0.05991938439442669,0.43020922285899277,0.38403990024937656,61.84538653366584,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20311200,0.9413503278839938,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
cand_vol_managed_momentum,Volatility-Managed Momentum,volatility_scaled_momentum,False,SPY,holdout,2019-11-08,2026-04-02,1607,62,0,62,13.016129032258064,0.4815856091589172,0.5621845186895011,0.5485668592126913,0.3231882648387493,-0.08059890953058396,-0.24938686920082873,0.5860349127182045,41.64588528678304,random_luck,Random / Luck,400,False,structure_preserving_random_timing,20335142,0.9413503278839938,0.9594124923910695,random_luck,Random / Luck,random_luck,Random / Luck
