agent,outer_run,seed_used,actual_cumulative_return,annualized_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,RCSI,RCSI_z,significant_run,outperform_null_median,lower_5pct,upper_95pct,number_of_trades,transaction_cost,simulations_per_run,null_model
mean_reversion,14,114,8.309103382834618,0.1660352732064377,0.5749542699006219,0.3812447338081301,-0.604008216498277,1.8350243757517337,3.0874413744371427,4.088707366000761,91.4,0.086,1.0655015487564323,6.474079007082884,1.277093599756658,0,1,-0.3562013667282982,10.790576893815688,66,0.00047,1000,random_timing_matched_duration
random,14,114,6.496169529358596,0.14903630715826058,0.5398884214591508,0.23842613806799895,-0.8139280291372587,10.247049435296837,19.724195347392904,30.164335624853763,34.4,0.656,0.1830961606243397,-3.750879905938241,-0.4385319797043744,0,0,0.7424366664369167,63.94328959188031,80,0.00047,1000,random_timing_matched_duration
momentum,14,114,23.82902973487983,0.25322313626676807,0.7249572758407131,0.26944887839901416,-0.6331084578634381,48.61635901792295,70.94557762013369,72.38327382585055,21.5,0.785,0.10513034325474745,-24.787329283043125,-0.6509314292499842,0,0,10.75773367672472,209.86417353126845,44,0.00047,1000,random_timing_matched_duration
breakout,14,114,8.919936639630139,0.1733505183311313,0.6034885601158502,0.29649715297446433,-0.5941113939327626,23.854884594327263,42.49793592456031,56.23335694791177,18.6,0.814,0.0893755951107988,-14.934947954697124,-0.5971188829440333,0,0,4.028036814687433,150.47395703134515,43,0.00047,1000,random_timing_matched_duration
trend,15,115,7.0018835747368815,0.15600874107807927,0.5691728583835658,0.15769726885796706,-0.5940902103163633,26.36626256196763,46.99890410992144,77.64368547817503,10.7,0.893,0.049148541111453566,-19.36437898723075,-0.5151355231125315,0,0,4.531405321982648,144.07116613234643,132,0.00047,1000,random_timing_matched_duration
mean_reversion,15,115,8.309103382834618,0.1660352732064377,0.5749542699006219,0.3812447338081301,-0.604008216498277,1.7911613015448502,2.9483648924335704,3.90746623516964,91.3,0.087,1.0604807473813815,6.5179420812897675,1.371921897149372,0,1,-0.4064482710114503,10.877003022221764,66,0.00047,1000,random_timing_matched_duration
random,15,115,6.496169529358596,0.14903630715826058,0.5398884214591508,0.23842613806799895,-0.8139280291372587,8.935468213137575,15.785953983588735,20.917788785515352,40.9,0.591,0.22841251911874466,-2.439298683778979,-0.44410929613472844,0,0,0.6528738606895712,54.48598088741961,80,0.00047,1000,random_timing_matched_duration
momentum,15,115,23.82902973487983,0.25322313626676807,0.7249572758407131,0.26944887839901416,-0.6331084578634381,46.074237249399594,67.64401442362328,68.47413918801999,23.200000000000003,0.768,0.114638779968488,-22.245207514519766,-0.6398763855714038,0,0,10.795529549992395,199.82612713823286,44,0.00047,1000,random_timing_matched_duration
breakout,15,115,8.919936639630139,0.1733505183311313,0.6034885601158502,0.29649715297446433,-0.5941113939327626,24.796305019182533,39.78195896389417,47.126504576398865,19.1,0.809,0.09205147838772766,-15.876368379552394,-0.6548761169891614,0,0,4.235520096659909,127.42586248000086,43,0.00047,1000,random_timing_matched_duration
trend,16,116,7.0018835747368815,0.15600874107807927,0.5691728583835658,0.15769726885796706,-0.5940902103163633,27.62299717546909,46.685236415754524,64.11358109512729,11.5,0.885,0.05305672930217456,-20.62111360073221,-0.618953927751099,0,0,4.295725866820523,142.9841977082763,132,0.00047,1000,random_timing_matched_duration
